Sector,Level,Salary
Tecnologia da Informação,Entry,67843
Tecnologia da Informação,Mid,104903
Tecnologia da Informação,Senior,172741
Tecnologia da Informação,Entry,51664
Tecnologia da Informação,Mid,91241
Tecnologia da Informação,Senior,172184
Tecnologia da Informação,Entry,63644
Tecnologia da Informação,Mid,91766
Tecnologia da Informação,Senior,206295
Tecnologia da Informação,Entry,63066
Tecnologia da Informação,Mid,100629
Tecnologia da Informação,Senior,172720
Tecnologia da Informação,Entry,67491
Tecnologia da Informação,Mid,92217
Tecnologia da Informação,Senior,186677
Tecnologia da Informação,Entry,68299
Tecnologia da Informação,Mid,89806
Tecnologia da Informação,Senior,171777
Tecnologia da Informação,Entry,58730
Tecnologia da Informação,Mid,95333
Tecnologia da Informação,Senior,157025
Tecnologia da Informação,Entry,68807
Tecnologia da Informação,Mid,104666
Tecnologia da Informação,Senior,199809
Tecnologia da Informação,Entry,52065
Tecnologia da Informação,Mid,97450
Tecnologia da Informação,Senior,158735
Tecnologia da Informação,Entry,59775
Tecnologia da Informação,Mid,93060
Tecnologia da Informação,Senior,164536
Tecnologia da Informação,Entry,54078
Tecnologia da Informação,Mid,95694
Tecnologia da Informação,Senior,170797
Tecnologia da Informação,Entry,51824
Tecnologia da Informação,Mid,85755
Tecnologia da Informação,Senior,161413
Tecnologia da Informação,Entry,54052
Tecnologia da Informação,Mid,96219
Tecnologia da Informação,Senior,154662
Tecnologia da Informação,Entry,68370
Tecnologia da Informação,Mid,91153
Tecnologia da Informação,Senior,142962
Tecnologia da Informação,Entry,61477
Tecnologia da Informação,Mid,95623
Tecnologia da Informação,Senior,157692
Tecnologia da Informação,Entry,67895
Tecnologia da Informação,Mid,103047
Tecnologia da Informação,Senior,192430
Tecnologia da Informação,Entry,69158
Tecnologia da Informação,Mid,98138
Tecnologia da Informação,Senior,167360
Tecnologia da Informação,Entry,64738
Tecnologia da Informação,Mid,87894
Tecnologia da Informação,Senior,149976
Tecnologia da Informação,Entry,57720
Tecnologia da Informação,Mid,90836
Tecnologia da Informação,Senior,171552
Tecnologia da Informação,Entry,50791
Tecnologia da Informação,Mid,101332
Tecnologia da Informação,Senior,198826
Tecnologia da Informação,Entry,55525
Tecnologia da Informação,Mid,96202
Tecnologia da Informação,Senior,181480
Tecnologia da Informação,Entry,69523
Tecnologia da Informação,Mid,87833
Tecnologia da Informação,Senior,137551
Tecnologia da Informação,Entry,54680
Tecnologia da Informação,Mid,104511
Tecnologia da Informação,Senior,173455
Tecnologia da Informação,Entry,61565
Tecnologia da Informação,Mid,97531
Tecnologia da Informação,Senior,152463
Tecnologia da Informação,Entry,65892
Tecnologia da Informação,Mid,96470
Tecnologia da Informação,Senior,140812
Tecnologia da Informação,Entry,50687
Tecnologia da Informação,Mid,90605
Tecnologia da Informação,Senior,156729
Tecnologia da Informação,Entry,68472
Tecnologia da Informação,Mid,91280
Tecnologia da Informação,Senior,208670
Tecnologia da Informação,Entry,62274
Tecnologia da Informação,Mid,87310
Tecnologia da Informação,Senior,166396
Tecnologia da Informação,Entry,54106
Tecnologia da Informação,Mid,91139
Tecnologia da Informação,Senior,162478
Tecnologia da Informação,Entry,56012
Tecnologia da Informação,Mid,103996
Tecnologia da Informação,Senior,175666
Tecnologia da Informação,Entry,65906
Tecnologia da Informação,Mid,89094
Tecnologia da Informação,Senior,148192
Tecnologia da Informação,Entry,54760
Tecnologia da Informação,Mid,94921
Tecnologia da Informação,Senior,182376
Tecnologia da Informação,Entry,54987
Tecnologia da Informação,Mid,85905
Tecnologia da Informação,Senior,160854
Tecnologia da Informação,Entry,69379
Tecnologia da Informação,Mid,93728
Tecnologia da Informação,Senior,165012
Tecnologia da Informação,Entry,69589
Tecnologia da Informação,Mid,89908
Tecnologia da Informação,Senior,161796
Tecnologia da Informação,Entry,63743
Tecnologia da Informação,Mid,92469
Tecnologia da Informação,Senior,175401
Tecnologia da Informação,Entry,67423
Tecnologia da Informação,Mid,96762
Tecnologia da Informação,Senior,152977
Tecnologia da Informação,Entry,50348
Tecnologia da Informação,Mid,104917
Tecnologia da Informação,Senior,207113
Tecnologia da Informação,Entry,53003
Tecnologia da Informação,Mid,97757
Tecnologia da Informação,Senior,202688
Tecnologia da Informação,Entry,56360
Tecnologia da Informação,Mid,95335
Tecnologia da Informação,Senior,190257
Tecnologia da Informação,Entry,68679
Tecnologia da Informação,Mid,86634
Tecnologia da Informação,Senior,179613
Tecnologia da Informação,Entry,57295
Tecnologia da Informação,Mid,86868
Tecnologia da Informação,Senior,206018
Tecnologia da Informação,Entry,52968
Tecnologia da Informação,Mid,84533
Tecnologia da Informação,Senior,150212
Tecnologia da Informação,Entry,58247
Tecnologia da Informação,Mid,99156
Tecnologia da Informação,Senior,162537
Tecnologia da Informação,Entry,61226
Tecnologia da Informação,Mid,103618
Tecnologia da Informação,Senior,207919
Tecnologia da Informação,Entry,50127
Tecnologia da Informação,Mid,91942
Tecnologia da Informação,Senior,176589
Saúde,Entry,54148
Saúde,Mid,78760
Saúde,Senior,114062
Saúde,Entry,53609
Saúde,Mid,71226
Saúde,Senior,121428
Saúde,Entry,45415
Saúde,Mid,75114
Saúde,Senior,165797
Saúde,Entry,46513
Saúde,Mid,78378
Saúde,Senior,157367
Saúde,Entry,43763
Saúde,Mid,69026
Saúde,Senior,131079
Saúde,Entry,55958
Saúde,Mid,72127
Saúde,Senior,160042
Saúde,Entry,42022
Saúde,Mid,76509
Saúde,Senior,147956
Saúde,Entry,53610
Saúde,Mid,72736
Saúde,Senior,111731
Saúde,Entry,51192
Saúde,Mid,68767
Saúde,Senior,132605
Saúde,Entry,49986
Saúde,Mid,76127
Saúde,Senior,111105
Saúde,Entry,40460
Saúde,Mid,72962
Saúde,Senior,122590
Saúde,Entry,47652
Saúde,Mid,75375
Saúde,Senior,167942
Saúde,Entry,43878
Saúde,Mid,81247
Saúde,Senior,149451
Saúde,Entry,46201
Saúde,Mid,71191
Saúde,Senior,125624
Saúde,Entry,55472
Saúde,Mid,67621
Saúde,Senior,111757
Saúde,Entry,41873
Saúde,Mid,67261
Saúde,Senior,156915
Saúde,Entry,42449
Saúde,Mid,73660
Saúde,Senior,113178
Saúde,Entry,55676
Saúde,Mid,71466
Saúde,Senior,158970
Saúde,Entry,55584
Saúde,Mid,69109
Saúde,Senior,155981
Saúde,Entry,44002
Saúde,Mid,70635
Saúde,Senior,157536
Saúde,Entry,40056
Saúde,Mid,83701
Saúde,Senior,120605
Saúde,Entry,51298
Saúde,Mid,73872
Saúde,Senior,123027
Saúde,Entry,50303
Saúde,Mid,70709
Saúde,Senior,142424
Saúde,Entry,50943
Saúde,Mid,69837
Saúde,Senior,132986
Saúde,Entry,52231
Saúde,Mid,73471
Saúde,Senior,111301
Saúde,Entry,43036
Saúde,Mid,71270
Saúde,Senior,127505
Saúde,Entry,47378
Saúde,Mid,72931
Saúde,Senior,164281
Saúde,Entry,53139
Saúde,Mid,71101
Saúde,Senior,130391
Saúde,Entry,49930
Saúde,Mid,74780
Saúde,Senior,122408
Saúde,Entry,50232
Saúde,Mid,78260
Saúde,Senior,115565
Saúde,Entry,44795
Saúde,Mid,81574
Saúde,Senior,147605
Saúde,Entry,53784
Saúde,Mid,80852
Saúde,Senior,167182
Saúde,Entry,49787
Saúde,Mid,68078
Saúde,Senior,149282
Saúde,Entry,53396
Saúde,Mid,82696
Saúde,Senior,146963
Saúde,Entry,42665
Saúde,Mid,76280
Saúde,Senior,118178
Saúde,Entry,43123
Saúde,Mid,68313
Saúde,Senior,167423
Saúde,Entry,45292
Saúde,Mid,81270
Saúde,Senior,162911
Saúde,Entry,54814
Saúde,Mid,73175
Saúde,Senior,113976
Saúde,Entry,45412
Saúde,Mid,70860
Saúde,Senior,132481
Saúde,Entry,44228
Saúde,Mid,80758
Saúde,Senior,138909
Saúde,Entry,44710
Saúde,Mid,76313
Saúde,Senior,135899
Saúde,Entry,44126
Saúde,Mid,67834
Saúde,Senior,164165
Saúde,Entry,41766
Saúde,Mid,83601
Saúde,Senior,148018
Saúde,Entry,40120
Saúde,Mid,74484
Saúde,Senior,138721
Saúde,Entry,51896
Saúde,Mid,80420
Saúde,Senior,136250
Saúde,Entry,45281
Saúde,Mid,72178
Saúde,Senior,132052
Saúde,Entry,47532
Saúde,Mid,79399
Saúde,Senior,129203
Saúde,Entry,53449
Saúde,Mid,69177
Saúde,Senior,110135
Saúde,Entry,51075
Saúde,Mid,80796
Saúde,Senior,110978
Saúde,Entry,55523
Saúde,Mid,75753
Saúde,Senior,157973
Saúde,Entry,41933
Saúde,Mid,79861
Saúde,Senior,167470
Saúde,Entry,41344
Saúde,Mid,71389
Saúde,Senior,110225
Saúde,Entry,43875
Saúde,Mid,82622
Saúde,Senior,141744
Saúde,Entry,50430
Saúde,Mid,69804
Saúde,Senior,136671
Saúde,Entry,48167
Saúde,Mid,71955
Saúde,Senior,165501
Saúde,Entry,45943
Saúde,Mid,69692
Saúde,Senior,114893
Saúde,Entry,44217
Saúde,Mid,73933
Saúde,Senior,110094
Saúde,Entry,49452
Saúde,Mid,71522
Saúde,Senior,136153
Saúde,Entry,54318
Saúde,Mid,70870
Saúde,Senior,142296
Saúde,Entry,43085
Saúde,Mid,82479
Saúde,Senior,150367
Saúde,Entry,42588
Saúde,Mid,77865
Saúde,Senior,161528
Saúde,Entry,52199
Saúde,Mid,69418
Saúde,Senior,162642
Saúde,Entry,53489
Saúde,Mid,68693
Saúde,Senior,111888
Saúde,Entry,41005
Saúde,Mid,76437
Saúde,Senior,165464
Saúde,Entry,52319
Saúde,Mid,70891
Saúde,Senior,129458
Saúde,Entry,51870
Saúde,Mid,70276
Saúde,Senior,155088
Saúde,Entry,46216
Saúde,Mid,75308
Saúde,Senior,158621
Saúde,Entry,44070
Saúde,Mid,68953
Saúde,Senior,134054
Saúde,Entry,53340
Saúde,Mid,74264
Saúde,Senior,130506
Saúde,Entry,40089
Saúde,Mid,70181
Saúde,Senior,137333
Saúde,Entry,48788
Saúde,Mid,74219
Saúde,Senior,113301
Saúde,Entry,55338
Saúde,Mid,83273
Saúde,Senior,136497
Saúde,Entry,44130
Saúde,Mid,68920
Saúde,Senior,163686
Saúde,Entry,54886
Saúde,Mid,67840
Saúde,Senior,136032
Saúde,Entry,54386
Saúde,Mid,79572
Saúde,Senior,161856
Saúde,Entry,45324
Saúde,Mid,80275
Saúde,Senior,136542
Saúde,Entry,43858
Saúde,Mid,69831
Saúde,Senior,127013
Saúde,Entry,42896
Saúde,Mid,81651
Saúde,Senior,119578
Saúde,Entry,51932
Saúde,Mid,70633
Saúde,Senior,119398
Saúde,Entry,47937
Saúde,Mid,78136
Saúde,Senior,111483
Saúde,Entry,40875
Saúde,Mid,71766
Saúde,Senior,159374
Saúde,Entry,40709
Saúde,Mid,80484
Saúde,Senior,124859
Saúde,Entry,53171
Saúde,Mid,67364
Saúde,Senior,166139
Saúde,Entry,49611
Saúde,Mid,81932
Saúde,Senior,147141
Saúde,Entry,52161
Saúde,Mid,81799
Saúde,Senior,161468
Saúde,Entry,53815
Saúde,Mid,78793
Saúde,Senior,144509
Saúde,Entry,52072
Saúde,Mid,83571
Saúde,Senior,136965
Saúde,Entry,52373
Saúde,Mid,81636
Saúde,Senior,111888
Saúde,Entry,48148
Saúde,Mid,68646
Saúde,Senior,115840
Saúde,Entry,49025
Saúde,Mid,75055
Saúde,Senior,116416
Saúde,Entry,46178
Saúde,Mid,82100
Saúde,Senior,135688
Saúde,Entry,43919
Saúde,Mid,68727
Saúde,Senior,114414
Saúde,Entry,46490
Saúde,Mid,79585
Saúde,Senior,150539
Saúde,Entry,42839
Saúde,Mid,74336
Saúde,Senior,126839
Saúde,Entry,48533
Saúde,Mid,72497
Saúde,Senior,160286
Saúde,Entry,49559
Saúde,Mid,71582
Saúde,Senior,141615
Saúde,Entry,43356
Saúde,Mid,76601
Saúde,Senior,164857
Saúde,Entry,49275
Saúde,Mid,78741
Saúde,Senior,126812
Saúde,Entry,52088
Saúde,Mid,76672
Saúde,Senior,159231
Saúde,Entry,54512
Saúde,Mid,81440
Saúde,Senior,119961
Educação,Entry,35871
Educação,Mid,55119
Educação,Senior,108189
Educação,Entry,41269
Educação,Mid,51227
Educação,Senior,122720
Educação,Entry,40423
Educação,Mid,61710
Educação,Senior,125013
Educação,Entry,39018
Educação,Mid,51816
Educação,Senior,111236
Educação,Entry,34832
Educação,Mid,57100
Educação,Senior,113898
Educação,Entry,37956
Educação,Mid,61764
Educação,Senior,94148
Educação,Entry,38335
Educação,Mid,59622
Educação,Senior,85260
Educação,Entry,30693
Educação,Mid,62521
Educação,Senior,104948
Educação,Entry,34879
Educação,Mid,53325
Educação,Senior,103665
Educação,Entry,33845
Educação,Mid,62663
Educação,Senior,96275
Educação,Entry,33312
Educação,Mid,50758
Educação,Senior,108483
Educação,Entry,34148
Educação,Mid,58536
Educação,Senior,91047
Educação,Entry,38388
Educação,Mid,57805
Educação,Senior,113276
Educação,Entry,35518
Educação,Mid,52136
Educação,Senior,105044
Educação,Entry,40706
Educação,Mid,53298
Educação,Senior,101558
Educação,Entry,38653
Educação,Mid,57529
Educação,Senior,113554
Educação,Entry,31713
Educação,Mid,54692
Educação,Senior,99219
Educação,Entry,30756
Educação,Mid,57726
Educação,Senior,82131
Educação,Entry,40026
Educação,Mid,60760
Educação,Senior,98688
Educação,Entry,40907
Educação,Mid,57295
Educação,Senior,100773
Educação,Entry,30219
Educação,Mid,57054
Educação,Senior,121389
Educação,Entry,33693
Educação,Mid,60075
Educação,Senior,123111
Educação,Entry,31477
Educação,Mid,60074
Educação,Senior,90732
Educação,Entry,41018
Educação,Mid,56846
Educação,Senior,94991
Educação,Entry,37903
Educação,Mid,55499
Educação,Senior,95405
Educação,Entry,41529
Educação,Mid,61628
Educação,Senior,91609
Educação,Entry,39994
Educação,Mid,61817
Educação,Senior,120721
Educação,Entry,30164
Educação,Mid,60718
Educação,Senior,85722
Educação,Entry,39310
Educação,Mid,57599
Educação,Senior,96678
Educação,Entry,30132
Educação,Mid,60868
Educação,Senior,87338
Educação,Entry,37634
Educação,Mid,58285
Educação,Senior,119376
Educação,Entry,36144
Educação,Mid,62604
Educação,Senior,86356
Educação,Entry,38548
Educação,Mid,62711
Educação,Senior,105030
Educação,Entry,34424
Educação,Mid,52048
Educação,Senior,103460
Educação,Entry,38121
Educação,Mid,58816
Educação,Senior,84327
Educação,Entry,40412
Educação,Mid,61738
Educação,Senior,121433
Educação,Entry,37774
Educação,Mid,62271
Educação,Senior,114725
Educação,Entry,38397
Educação,Mid,57217
Educação,Senior,119436
Educação,Entry,32670
Educação,Mid,61422
Educação,Senior,87791
Educação,Entry,39100
Educação,Mid,56502
Educação,Senior,102093
Educação,Entry,34663
Educação,Mid,58016
Educação,Senior,115865
Educação,Entry,33568
Educação,Mid,52071
Educação,Senior,112816
Educação,Entry,40077
Educação,Mid,55879
Educação,Senior,122518
Educação,Entry,41681
Educação,Mid,50710
Educação,Senior,108794
Educação,Entry,37976
Educação,Mid,55993
Educação,Senior,117487
Educação,Entry,32905
Educação,Mid,58398
Educação,Senior,98116
Educação,Entry,32660
Educação,Mid,50532
Educação,Senior,98845
Educação,Entry,38599
Educação,Mid,60829
Educação,Senior,113473
Educação,Entry,31148
Educação,Mid,54114
Educação,Senior,106337
Educação,Entry,37612
Educação,Mid,51169
Educação,Senior,112509
Educação,Entry,32988
Educação,Mid,53076
Educação,Senior,109228
Educação,Entry,35758
Educação,Mid,60727
Educação,Senior,96568
Educação,Entry,39527
Educação,Mid,53348
Educação,Senior,90025
Educação,Entry,31583
Educação,Mid,53203
Educação,Senior,101779
Educação,Entry,30932
Educação,Mid,59298
Educação,Senior,100867
Educação,Entry,33220
Educação,Mid,60499
Educação,Senior,111430
Educação,Entry,38372
Educação,Mid,55258
Educação,Senior,125178
Educação,Entry,30740
Educação,Mid,57758
Educação,Senior,120395
Educação,Entry,40923
Educação,Mid,54924
Educação,Senior,110431
Educação,Entry,39164
Educação,Mid,51940
Educação,Senior,113917
Educação,Entry,41509
Educação,Mid,53478
Educação,Senior,112982
Educação,Entry,36036
Educação,Mid,54011
Educação,Senior,125243
Educação,Entry,34800
Educação,Mid,50469
Educação,Senior,89622
Educação,Entry,34157
Educação,Mid,51683
Educação,Senior,92590
Educação,Entry,38964
Educação,Mid,55380
Educação,Senior,81946
Educação,Entry,34833
Educação,Mid,53198
Educação,Senior,101226
Educação,Entry,40786
Educação,Mid,53025
Educação,Senior,118638
Educação,Entry,31641
Educação,Mid,56158
Educação,Senior,116135
Educação,Entry,34744
Educação,Mid,50634
Educação,Senior,119596
Educação,Entry,40641
Educação,Mid,56066
Educação,Senior,116723
Educação,Entry,31579
Educação,Mid,62198
Educação,Senior,121137
Educação,Entry,32400
Educação,Mid,55021
Educação,Senior,114101
Educação,Entry,41645
Educação,Mid,53755
Educação,Senior,106168
Educação,Entry,32479
Educação,Mid,58938
Educação,Senior,109941
Educação,Entry,30270
Educação,Mid,62765
Educação,Senior,97376
Educação,Entry,33472
Educação,Mid,50793
Educação,Senior,86384
Educação,Entry,36129
Educação,Mid,53434
Educação,Senior,108090
Educação,Entry,33349
Educação,Mid,55810
Educação,Senior,120280
Educação,Entry,35344
Educação,Mid,58330
Educação,Senior,82365
Educação,Entry,33555
Educação,Mid,53438
Educação,Senior,107766
Educação,Entry,36953
Educação,Mid,61184
Educação,Senior,115451
Educação,Entry,38934
Educação,Mid,60604
Educação,Senior,91389
Educação,Entry,39014
Educação,Mid,61011
Educação,Senior,87091
Educação,Entry,30385
Educação,Mid,56634
Educação,Senior,109105
Educação,Entry,40829
Educação,Mid,52920
Educação,Senior,96202
Educação,Entry,36518
Educação,Mid,59866
Educação,Senior,98570
Educação,Entry,34447
Educação,Mid,55114
Educação,Senior,114727
Educação,Entry,37902
Educação,Mid,62588
Educação,Senior,115603
Educação,Entry,37497
Educação,Mid,62739
Educação,Senior,89444
Educação,Entry,35431
Educação,Mid,51884
Educação,Senior,99977
Educação,Entry,33618
Educação,Mid,55033
Educação,Senior,98008
Educação,Entry,32436
Educação,Mid,62741
Educação,Senior,91117
Educação,Entry,36762
Educação,Mid,56514
Educação,Senior,83026
Educação,Entry,40625
Educação,Mid,57055
Educação,Senior,115312
Educação,Entry,35449
Educação,Mid,52781
Educação,Senior,93463
Educação,Entry,36723
Educação,Mid,62600
Educação,Senior,94556
Educação,Entry,35013
Educação,Mid,54300
Educação,Senior,90809
Educação,Entry,32950
Educação,Mid,51760
Educação,Senior,88923
Educação,Entry,30170
Educação,Mid,54713
Educação,Senior,91730
Educação,Entry,37236
Educação,Mid,57991
Educação,Senior,90130
Finanças,Entry,50048
Finanças,Mid,97984
Finanças,Senior,145252
Finanças,Entry,57890
Finanças,Mid,90819
Finanças,Senior,180795
Finanças,Entry,69484
Finanças,Mid,87464
Finanças,Senior,166222
Finanças,Entry,60217
Finanças,Mid,93194
Finanças,Senior,185780
Finanças,Entry,66329
Finanças,Mid,87566
Finanças,Senior,141617
Finanças,Entry,66092
Finanças,Mid,88365
Finanças,Senior,171945
Finanças,Entry,60018
Finanças,Mid,94106
Finanças,Senior,160036
Finanças,Entry,64155
Finanças,Mid,99896
Finanças,Senior,151581
Finanças,Entry,61315
Finanças,Mid,97308
Finanças,Senior,207693
Finanças,Entry,56175
Finanças,Mid,102407
Finanças,Senior,183556
Finanças,Entry,52115
Finanças,Mid,96443
Finanças,Senior,152946
Finanças,Entry,62147
Finanças,Mid,91143
Finanças,Senior,174985
Finanças,Entry,63171
Finanças,Mid,102846
Finanças,Senior,161289
Finanças,Entry,50643
Finanças,Mid,98719
Finanças,Senior,155491
Finanças,Entry,61005
Finanças,Mid,94951
Finanças,Senior,153072
Finanças,Entry,50472
Finanças,Mid,89636
Finanças,Senior,190959
Finanças,Entry,58505
Finanças,Mid,98486
Finanças,Senior,138319
Finanças,Entry,54310
Finanças,Mid,104034
Finanças,Senior,190676
Finanças,Entry,61461
Finanças,Mid,92166
Finanças,Senior,190186
Finanças,Entry,68620
Finanças,Mid,100369
Finanças,Senior,171796
Finanças,Entry,64479
Finanças,Mid,99345
Finanças,Senior,164326
Finanças,Entry,51594
Finanças,Mid,102790
Finanças,Senior,174529
Finanças,Entry,65418
Finanças,Mid,92117
Finanças,Senior,206714
Finanças,Entry,54654
Finanças,Mid,96220
Finanças,Senior,188041
Finanças,Entry,52623
Finanças,Mid,84067
Finanças,Senior,139447
Finanças,Entry,66851
Finanças,Mid,100499
Finanças,Senior,172551
Finanças,Entry,64454
Finanças,Mid,87327
Finanças,Senior,180226
Finanças,Entry,53420
Finanças,Mid,85602
Finanças,Senior,148528
Finanças,Entry,60040
Finanças,Mid,94241
Finanças,Senior,149093
Finanças,Entry,63063
Finanças,Mid,90906
Finanças,Senior,185325
Finanças,Entry,54383
Finanças,Mid,89383
Finanças,Senior,194113
Finanças,Entry,58076
Finanças,Mid,103920
Finanças,Senior,178562
Finanças,Entry,50498
Finanças,Mid,90112
Finanças,Senior,169904
Finanças,Entry,63641
Finanças,Mid,96771
Finanças,Senior,165745
Finanças,Entry,64839
Finanças,Mid,95000
Finanças,Senior,207010
Finanças,Entry,62508
Finanças,Mid,98343
Finanças,Senior,153670
Finanças,Entry,50689
Finanças,Mid,84866
Finanças,Senior,162082
Finanças,Entry,55434
Finanças,Mid,100277
Finanças,Senior,144057
Finanças,Entry,56789
Finanças,Mid,102008
Finanças,Senior,170360
Finanças,Entry,53714
Finanças,Mid,86385
Finanças,Senior,142390
Finanças,Entry,56771
Finanças,Mid,87523
Finanças,Senior,209243
Finanças,Entry,61637
Finanças,Mid,87952
Finanças,Senior,192616
Finanças,Entry,67127
Finanças,Mid,103653
Finanças,Senior,175338
Finanças,Entry,66350
Finanças,Mid,100348
Finanças,Senior,192747
Finanças,Entry,50812
Finanças,Mid,86775
Finanças,Senior,173389
Finanças,Entry,51799
Finanças,Mid,97922
Finanças,Senior,189857
Finanças,Entry,56733
