income,filing_status,state,compliance_score,deductions,tax_paid,refund_claimed,is_fraudulent
19495.69,Married Filing Jointly,MS,81.34,1290.4,2472.28,9494.33,0
116356.57,Head of Household,GO,68.59,27681.51,26071.97,6009.24,0
18146.6,Married Filing Jointly,GO,86.08,413.36,3439.21,3239.59,0
122886.81,Married Filing Jointly,PA,87.53,12041.15,37038.91,13557.35,0
84071.18,Married Filing Separately,CE,93.58,23534.79,27087.16,8899.27,0
30520.38,Married Filing Separately,RR,88.91,3458.66,10071.86,443.06,0
182879.48,Head of Household,SE,94.7,28874.16,48823.67,15944.63,0
82029.03,Head of Household,PA,85.53,8331.0,16730.58,12586.3,0
77616.63,Married Filing Jointly,RS,71.64,18028.33,17206.54,22654.5,0
76415.91,Single,SE,84.84,10544.9,18537.2,5338.56,0
110625.88,Married Filing Jointly,MS,67.2,48989.49,28690.23,3904.72,0
80604.92,Married Filing Separately,MG,96.74,36591.44,49973.11,780.62,0
48199.3,Head of Household,CE,81.46,4870.76,4801.31,11894.82,0
33691.69,Single,RS,40.20939158579965,23991.530798801236,6776.44,446.7,1
27204.67,Head of Household,RJ,84.35,14368.01,4894.32,875.54,0
31284.57,Married Filing Separately,CE,93.63,11495.5,18754.25,2462.17,0
86206.5,Married Filing Jointly,SE,52.47,9911.62,34806.05,8371.46,0
108551.24,Head of Household,GO,88.88,25099.94,23859.93,8533.07,0
95260.53,Married Filing Jointly,BA,81.65,29142.67,2757.94,3427.61,0
121323.24,Married Filing Separately,RS,93.46,19482.38,34043.44,5660.39,0
59349.04,Single,AM,88.96,15684.9,15871.66,6432.2,0
85224.24,Head of Household,PA,97.04,23237.82,18402.12,431.01,0
53363.7,Married Filing Separately,RJ,73.82,6958.19,25729.78,14889.05,0
79596.33,Single,PI,62.84,11303.15,40821.66,8788.16,0
60194.05,Single,AM,78.51,6333.44,3026.65,744.77,0
71017.0,Married Filing Separately,GO,89.41,10743.75,5949.56,399.99,0
64230.7,Married Filing Jointly,RR,76.48,1127.89,25760.66,22.6,0
129678.89,Married Filing Jointly,RR,94.26,65261.11,67808.86,774.02,0
135985.32,Head of Household,AP,71.19,49539.86,21754.55,21.96,0
192859.5,Single,MA,85.55,55489.09,90350.05,16989.9,0
20618.45,Single,AM,90.1,14733.51,363.55,1341.01,0
5709.786694124394,Married Filing Jointly,PB,64.30165387872195,1186.31,743.97,71.5,1
75325.58,Single,BA,91.84,20183.61,29216.6,17976.99,0
28402.14,Married Filing Jointly,AL,56.86,25623.628529977294,14756.38,3839.45,0
79971.48,Head of Household,AP,91.83,34948.48,10594.83,2075.3,0
170315.78,Married Filing Jointly,SP,88.03,14798.94,53844.3,16590.58,0
59549.59278514672,Single,ES,36.040054196854115,40178.62648288143,24160.02,1759.62,1
8407.9,Married Filing Jointly,RO,72.93,1397.94,1115.21,2842.76,0
30463.16,Head of Household,MS,92.36,3222.23,3629.44,347.7,0
106701.16,Single,PB,61.32,47730.74,38882.51,15487.95,0
121418.18,Head of Household,PA,81.46,55117.05,23504.07,143.62,0
174767.84,Married Filing Jointly,AM,88.55,45982.93,72222.04,4835.41,0
64838.18,Single,MS,90.5,1966.48,29064.67,740.94,0
62425.55,Married Filing Jointly,SP,69.74,18976.83,11442.16,1060.27,0
46901.79,Married Filing Separately,AM,89.45,8562.94,5510.27,2365.36,0
227580.95,Single,CE,59.3,53654.88,76979.55,10104.42,0
64246.14,Married Filing Jointly,CE,77.55,7761.74,29674.08,11391.94,0
35907.16,Married Filing Separately,GO,86.37,3352.32,7686.82,10106.6,0
107822.01,Married Filing Jointly,TO,84.81,24896.65,8905.4,5712.62,0
22693.14,Head of Household,MG,87.71,4743.53,1183.19,952.01,0
91672.75,Single,ES,92.96,69782.46,29694.68,38751.16,0
75416.93,Married Filing Jointly,PB,80.86,10390.46,13103.27,14581.16,0
38782.62,Single,PI,81.9,7107.41,5818.01,22127.62,0
16736.72,Married Filing Jointly,MA,90.03,184.82,8592.33,1146.28,0
15370.31,Married Filing Jointly,MS,53.38,405.13,6048.2,672.21,0
69001.54,Single,TO,70.73,30379.0,29130.87,16669.6,0
99596.06,Married Filing Separately,ES,82.63,41899.21,21272.53,15561.44,0
32860.59,Head of Household,PI,78.55,19353.77,5443.06,1796.11,0
46562.4,Married Filing Jointly,SC,91.09,29729.74,3069.93,3335.01,0
76319.78,Married Filing Separately,RJ,86.79,8324.54,23259.33,10390.09,0
24784.15,Head of Household,MA,62.98772827714275,21211.948188848994,2309.08,6027.43,1
67292.72,Head of Household,PE,76.08,17091.61,42042.57,1918.52,0
49065.67,Head of Household,SC,77.37,11698.38,12511.09,10966.42,0
161968.12,Head of Household,PR,82.84,17735.11,37896.1,2819.14,0
25448.86,Single,MT,60.68,7833.14,19848.21,15676.86,0
86731.58,Married Filing Separately,RO,86.19,11697.91,37078.9,909.16,0
178127.52,Married Filing Separately,PB,80.77,61806.18,45558.32,2412.82,0
182314.25,Married Filing Separately,PR,89.42,35476.28,73509.67,6219.76,0
28555.95,Head of Household,MS,68.92,11408.09,16045.11,1093.21,0
31901.53,Married Filing Jointly,MA,95.15,7828.63,11020.29,3185.29,0
128144.72,Married Filing Jointly,PE,91.47,73119.46,28750.75,28108.03,0
53869.75,Married Filing Separately,PA,84.01,11352.52,6694.05,461.41,0
66270.91,Married Filing Jointly,PE,81.04,20379.94,12969.4,1684.99,0
113248.48,Single,TO,77.5,26009.81,79323.45,24393.06,0
59055.57,Head of Household,AM,91.77,15394.14,4500.09,193.61,0
69116.74,Single,MG,62.83,35894.66,5425.0,1462.58,0
138411.28,Single,PI,76.22,8593.92,26178.3,20734.1,0
93498.07,Married Filing Separately,AL,59.23,19913.08,27885.23,4256.64,0
90682.82,Head of Household,SP,88.08,15022.54,13339.26,1238.98,0
24747.74,Head of Household,RN,69.72,14939.6,5648.88,2135.22,0
222909.49091501092,Head of Household,PE,27.700183515133034,139820.36436393223,121046.02,4903.73,1
147309.37,Head of Household,RS,65.06236160456562,108523.71009037357,29909.59,505.95,1
93955.72,Head of Household,SC,36.28667082599839,9657.26,50988.19,83043.233684419,1
39416.21,Married Filing Separately,ES,93.34,8586.63,8420.27,5728.98,0
34980.34,Head of Household,DF,91.35,9276.15,12794.83,62.66,0
105788.07,Married Filing Separately,MS,77.06,17977.89,25083.94,2039.04,0
141703.9,Married Filing Jointly,PR,47.41,71228.01,72666.79,7491.97,0
23820.71,Married Filing Separately,AL,47.28395670648039,2688.13,1707.04,2259.3916024403125,1
31062.38,Married Filing Separately,PR,90.97,2655.76,2820.95,7.15,0
87568.43,Single,RJ,85.97,13723.24,7781.62,11062.8,0
137453.02,Married Filing Jointly,BA,85.05,27826.9,35574.83,3177.97,0
233233.68,Married Filing Jointly,RS,80.26,55129.31,75511.91,2463.2,0
87902.41,Single,PI,60.17,7905.63,6454.29,12174.97,0
13839.73,Married Filing Jointly,AM,93.67,598.45,1003.74,21.96,0
186085.87,Single,MA,78.82,44885.45,62478.81,9751.45,0
20960.22,Single,AC,80.75,3708.87,5908.13,780.94,0
65385.05,Married Filing Jointly,RS,91.71,6349.1,11190.38,10678.24,0
104990.96,Head of Household,BA,74.08,38404.43,18048.03,13994.59,0
17012.85,Married Filing Jointly,AM,81.01,1757.86,911.12,1128.38,0
6060.738327022365,Married Filing Jointly,CE,42.857201763438184,542.97,1562.65,3502.06,1
28183.13,Married Filing Separately,PB,49.1,5860.54,2857.64,5598.81,0
22127.99,Married Filing Separately,SC,61.47,16457.65,2914.39,3156.78,0
69386.99,Married Filing Separately,SE,71.47,15029.03,31582.12,7849.59,0
77149.73,Single,SC,65.23,18914.89,12438.75,8849.1,0
183715.67,Married Filing Jointly,MA,85.42,14790.06,21000.09,4695.14,0
47225.26,Single,SE,64.48,14390.82,5049.12,1868.34,0
27907.03,Head of Household,PB,86.19,5290.79,5302.88,4859.51,0
28218.45,Head of Household,AM,72.76,3387.43,8157.68,12.55,0
81763.45,Head of Household,PA,83.49,41302.86,11322.87,3572.46,0
145348.03,Married Filing Jointly,MS,97.19,39339.29,37351.24,12229.21,0
52795.04,Married Filing Separately,MS,84.61,2285.35,20200.23,550.45,0
57033.52,Single,PB,90.57,22788.67,15353.18,26078.88,0
53205.09,Head of Household,ES,70.7,15307.88,7978.19,9059.7,0
70255.68,Single,AM,84.38,8547.93,8692.55,1131.07,0
178473.06,Married Filing Jointly,SP,77.76,35136.4,41607.65,2431.75,0
16850.04,Married Filing Jointly,PB,98.18,1325.24,1863.0,902.06,0
115940.09,Head of Household,AC,86.8,10047.86,34564.15,42739.88,0
59042.33083061263,Married Filing Separately,GO,41.63697437804346,39951.23924712855,30018.33,8096.02,1
140901.78,Single,ES,80.46,56735.01,77629.79,17456.9,0
25094.77,Married Filing Jointly,RS,94.21,563.61,2403.52,3150.04,0
39858.03,Married Filing Separately,MT,91.96,25345.31,1450.91,3478.75,0
994820.1108577205,Single,RO,56.7,5381.36,11930.93,13315.27,0
41474.64,Married Filing Jointly,MT,85.08,19151.37,12481.89,13833.31,0
98176.81,Married Filing Jointly,RR,82.62,51115.86,18080.98,12835.57,0
221638.64,Single,PI,91.31,49222.09,60881.45,2856.24,0
89858.65,Married Filing Jointly,RN,90.04,40649.36,12067.86,11899.04,0
19456.8,Single,TO,85.59,2122.88,2759.12,142.19,0
65554.92,Married Filing Jointly,MG,71.06,11435.67,15435.25,2239.67,0
120568.97,Head of Household,RJ,86.89,46057.67,30911.33,13767.97,0
14476.78,Head of Household,SC,85.44,422.76,1072.14,5814.01,0
3128902.7318781954,Single,AP,74.5,120693.69,73543.48,4577.6,0
28309.8,Single,MT,68.37,7828.42,7752.03,1135.16,0
48746.44,Head of Household,MA,90.52,15842.16,6056.92,2332.13,0
50060.51,Single,PA,81.14,12071.63,9102.63,20192.5,0
90606.82,Married Filing Jointly,PA,61.39,23495.05,29313.57,18725.22,0
74437.06,Married Filing Jointly,MS,95.88,19307.1,39635.97,1495.33,0
100623.55,Married Filing Jointly,SP,81.41,8843.8,10530.84,1098.79,0
77958.56,Single,MA,79.82,54784.55,33024.88,1.37,0
62566.87,Married Filing Jointly,PE,85.01,32237.0,14389.64,1370.56,0
6967.64,Single,TO,59.91,175.32,523.23,4108.08,0
30621.91,Single,MS,91.72,22021.77,6820.03,3834.9,0
85138.69,Head of Household,GO,96.26,29832.84,25174.49,3986.58,0
219045.14,Married Filing Jointly,BA,97.64,66952.77,22975.09,9079.49,0
62767.64,Married Filing Jointly,SC,79.6,21596.14,27046.9,3669.1,0
21817.35,Head of Household,PE,76.31,3957.74,3147.43,894.14,0
84139.42,Single,AL,87.57,21393.48,38312.52,1425.51,0
60147.43,Single,GO,79.41,19634.48,3285.72,2056.51,0
33393.85,Married Filing Separately,RS,70.15,3810.15,14967.98,508.6,0
205954.66,Married Filing Jointly,PA,90.51,43595.03,67564.93,5157.89,0
90744.85,Married Filing Jointly,GO,82.81,24655.55,7419.58,4598.11,0
57596.01,Married Filing Separately,PA,75.64,10157.39,16211.04,3882.18,0
60518.61,Married Filing Separately,SE,94.1,17035.95,12545.85,8273.2,0
72691.42,Single,SP,77.01,21006.82,19144.63,1717.96,0
72331.12,Single,RN,95.95,26052.89,12546.92,842.43,0
13788.5,Head of Household,CE,79.0,13461.44,2086.67,5562.58,0
50175.75,Single,ES,75.03,30484.85,28125.53,2327.99,0
77536.78,Married Filing Jointly,CE,71.18,9392.76,40345.95,8965.11,0
25460.82,Head of Household,CE,80.75,1530.53,3137.75,1112.59,0
81314.67,Single,RO,86.82,37913.77,17465.57,3462.52,0
60446.19,Married Filing Separately,SP,68.64,31782.82,8015.02,4459.92,0
145576.52,Head of Household,PR,57.17,93678.48,61999.84,2427.34,0
123870.31,Married Filing Jointly,TO,76.4,60384.8,16217.38,1122.44,0
264489.79,Married Filing Jointly,RJ,64.81,58995.5,43650.81,1537.88,0
103418.9,Married Filing Jointly,PR,93.1,80158.42,40589.64,23026.48,0
29411.11,Single,PB,94.86,32327.2,1400.91,6396.48,0
41519.36,Married Filing Jointly,RS,57.30360196886624,31532.585540229666,11346.13,4005.26,1
34118.32,Single,PR,84.86,253.25,4053.39,4119.88,0
52192.82,Single,PB,96.73,49329.66,6130.37,1022.04,0
14153.82,Head of Household,DF,83.31,7612.13,4647.41,1846.2,0
45695.35,Married Filing Separately,ES,85.85,18661.14,9525.51,12488.67,0
40898.33,Married Filing Jointly,MA,97.42,1304.37,8075.54,3972.71,0
63513.91,Head of Household,PE,68.44,14576.42,26335.42,5.29,0
29495.65,Head of Household,RO,81.2,5098.42,8708.77,467.74,0
80956.37,Married Filing Separately,RO,93.7,61309.38,25405.35,8889.01,0
179108.75,Married Filing Separately,RJ,69.74,77764.72,58015.73,9723.04,0
56297.29,Married Filing Jointly,RN,37.61,17033.51,30754.56,2256.92,0
69250.65,Married Filing Jointly,ES,85.94,26526.2,2514.47,3031.9,0
186642.8,Head of Household,TO,79.47,52411.25,82674.15,1808.37,0
57182.76,Married Filing Separately,PR,86.42,9851.85,58123.68,29262.25,0
84094.9,Married Filing Separately,GO,86.44,50334.21,32074.34,17292.07,0
77334.42,Married Filing Jointly,MT,45.68,26699.65,4720.03,23388.18,0
16998.43,Single,RR,87.33,1117.41,9587.64,6003.94,0
29485.53,Single,PB,53.16318059272948,24443.60863823989,5421.88,131.52,1
69245.29,Married Filing Separately,PB,82.51,15811.23,15855.35,1569.84,0
81256.11,Head of Household,SC,75.56,13500.65,6847.76,11235.79,0
43874.35,Head of Household,AC,75.1,27925.15,13962.91,7704.85,0
114909.29,Married Filing Jointly,RJ,86.96,26171.16,12803.71,9737.55,0
92148.54,Single,RN,83.81,23778.55,61018.32,95.45,0
85700.93,Single,AL,87.63,22295.35,32888.88,13786.06,0
105802.9,Married Filing Separately,CE,88.53,30685.15,26869.63,2286.6,0
62811.18,Married Filing Jointly,TO,90.52,19028.48,5900.29,6519.46,0
11176.14,Married Filing Separately,MA,75.64,5423.02,1699.68,5708.54,0
112949.75,Married Filing Jointly,RR,52.68,35864.93,44792.14,26858.45,0
53646.33,Married Filing Jointly,AL,90.43,2425.78,11259.65,13631.7,0
88938.21,Head of Household,TO,84.9,47733.78,27011.47,22823.45,0
66370.97,Married Filing Jointly,SC,87.07,11585.26,29628.79,4403.29,0
54309.55,Single,SE,82.2,15817.27,4515.19,5386.75,0
62692.24,Head of Household,RN,75.64,5200.79,11685.49,2.82,0
26164.58,Single,PB,90.84,12586.63,1391.82,8334.52,0
106432.25,Head of Household,SC,89.95,41038.96,32310.37,2259.16,0
88838.19,Head of Household,RJ,83.34,24983.73,16060.59,1035.58,0
131749.42,Single,RN,69.29,25125.54,66198.05,19275.52,0
66556.04,Married Filing Separately,MT,89.29,5017.64,11968.78,9442.8,0
86377.26,Single,PE,93.38,18101.81,15937.92,15.13,0
52956.02,Married Filing Jointly,RS,81.53,12413.57,11516.09,2746.19,0
45601.17,Married Filing Jointly,AC,97.05,947.71,14492.68,7704.03,0
66739.89,Single,SE,84.12,1423.51,16515.83,6057.05,0
159725.85,Single,GO,71.85,76688.12,67020.94,12405.19,0
140861.09,Married Filing Separately,AL,84.32,15952.11,22619.11,6112.26,0
37484.49,Married Filing Separately,CE,86.83,7512.63,4629.55,11893.18,0
65958.16,Single,RO,94.81,5939.21,3935.44,2574.35,0
51842.86,Head of Household,RJ,77.19,7916.61,36081.77,4230.14,0
119833.83,Married Filing Separately,RR,68.95,51085.46,55394.8,11178.56,0
23867.57,Single,CE,79.72,2011.29,5148.74,11408.79,0
184005.44,Married Filing Separately,PB,71.67,81767.43,70583.08,2606.94,0
78418.9,Married Filing Jointly,TO,85.38,8098.31,42301.77,72.61,0
25934.48,Married Filing Separately,PA,72.42,9087.31,4621.12,6545.39,0
72761.36,Married Filing Jointly,SE,88.59,10823.1,7932.69,3753.44,0
23067.86,Single,GO,86.88,7412.07,2823.43,3765.87,0
41733.21,Married Filing Separately,SP,95.19,3802.66,9215.25,4854.84,0
52651.57,Head of Household,RS,80.37,12682.43,11707.11,1640.1,0
80914.52,Married Filing Separately,RJ,91.24,7893.03,4561.76,1976.79,0
241879.68,Married Filing Jointly,RS,96.82,68987.25,34085.66,3646.93,0
363169.92,Single,ES,84.44,108158.74,121762.01,16128.68,0
93783.27,Single,AM,85.34,12006.1,8382.35,8760.24,0
97588.27,Single,PB,91.45,39879.04,22880.74,5805.3,0
102950.27,Single,CE,73.82,46937.66,6763.17,245.3,0
19647.63,Head of Household,AC,87.16,2321.83,2440.35,340.02,0
160628.64,Married Filing Separately,AC,69.61,55757.61,53955.53,5958.03,0
27803.19,Married Filing Separately,DF,94.31,2661.57,2315.06,21.72,0
134695.52,Single,AP,93.15,33817.59,46394.91,3004.77,0
48868.53,Head of Household,MS,89.07,7126.46,6987.16,1250.13,0
93056.04,Married Filing Jointly,RJ,79.64,41967.09,16715.89,8858.1,0
15189.94,Head of Household,PE,89.8,2433.99,628.8,10277.41,0
11325.12,Married Filing Jointly,PR,93.29,200.34,368.55,915.59,0
62163.21,Single,AM,59.92,34582.6,6508.36,3520.4,0
111417.77,Married Filing Separately,PB,79.16,14375.17,23503.94,939.8,0
36550.88,Head of Household,BA,77.64,2220.5,14017.23,185.67,0
68414.06,Married Filing Separately,MG,80.22,27982.18,18909.34,9049.68,0
91421.92,Head of Household,AM,93.22,49048.75,16467.49,10264.26,0
47267.17,Married Filing Jointly,SP,88.98,3516.61,28740.61,26753.72,0
88469.0,Married Filing Separately,DF,71.88,35620.22,22447.05,777.92,0
25429.75240549265,Married Filing Jointly,AC,29.45951040396274,19404.822911377192,3751.44,8588.12,1
22020.38,Single,MA,83.04,13110.9,12543.23,3039.81,0
23920.68,Single,PR,85.31,768.96,9662.76,2060.31,0
38309.81,Married Filing Jointly,SP,94.08,5321.13,12692.41,11262.21,0
45064.46,Married Filing Jointly,MG,84.67,5438.66,9263.92,371.67,0
59831.42,Married Filing Jointly,MG,62.55,23280.65,10368.6,2675.09,0
85579.2,Head of Household,MG,87.23,52720.13,8825.94,12857.28,0
35408.7,Single,MT,94.91,30500.32990314805,5253.54,2608.57,0
109249.37,Single,SE,85.73,63689.46,35467.98,12026.03,0
58901.64,Married Filing Jointly,SE,94.36,26006.37,18628.65,7729.77,0
74940.05,Single,MS,91.82,21449.66,19527.77,19891.17,0
94891.14,Head of Household,PR,90.45,19685.31,24944.27,156.88,0
147665.43,Single,AC,94.59,67180.41,26461.77,2197.72,0
24865.78,Head of Household,MT,91.57,7503.12,3419.24,131.03,0
20969.254945455865,Single,RR,51.95106315369948,1580.45,17497.07,130.59,1
31750.35,Single,MG,77.22,11858.36,2274.73,8812.59,0
61542.38,Married Filing Jointly,PA,71.22,7487.56,15175.13,7247.15,0
190474.07,Head of Household,TO,79.53,59106.54,81008.5,3849.55,0
185615.08,Single,GO,68.34,18079.0,52336.0,6379.33,0
92208.9,Married Filing Separately,SP,59.25,30732.58,25200.11,2932.78,0
129649.12,Head of Household,PB,77.51,52743.6,51825.43,2790.45,0
13731.47,Head of Household,PE,52.09,6221.87,966.25,2020.52,0
98778.91,Married Filing Separately,PR,68.67,54269.48,28870.12,6604.9,0
16294.62,Married Filing Jointly,AL,34.23,2268.72,513.25,300.82,0
121898.11,Head of Household,SC,99.14,18225.91,42321.53,7718.83,0
70945.48,Married Filing Separately,PB,94.32,7365.36,7175.37,2975.05,0
106490.08,Head of Household,RO,77.79,22111.27,48112.15,777.2,0
146515.76,Single,SP,92.05,16342.24,46210.22,3213.82,0
9939.28,Married Filing Separately,SE,72.91,502.24,384.92,1679.36,0
222216.76,Single,AM,98.46,49733.92,52295.85,939.11,0
92976.55,Head of Household,GO,91.11,23737.26,41648.39,1516.07,0
22848.55,Married Filing Jointly,AP,80.71,8949.99,3812.04,1708.67,0
37009.18,Married Filing Separately,PA,62.78,5765.62,3352.72,1957.62,0
99993.16,Single,SE,91.96,19207.15,7661.78,4114.65,0
184698.17,Head of Household,PR,89.88,60134.22,38831.05,68.22,0
124072.39,Married Filing Jointly,DF,58.47,30848.94,42083.38,6337.57,0
69074.19,Head of Household,ES,86.85,20977.84,10306.56,9028.31,0
147708.71,Head of Household,GO,55.31,15927.99,35440.24,7823.63,0
151894.58,Married Filing Separately,GO,57.46,18503.0,32144.35,5654.18,0
320997.69,Head of Household,PB,29.133716348993016,96132.83,161313.12,202608.77346673977,1
43252.68,Head of Household,DF,96.65,5974.2,6600.51,22819.14,0
159471.78,Single,RS,69.37,31433.09,20155.47,111.5,0
171162.96,Married Filing Jointly,TO,80.16,58850.67,52558.96,1802.36,0
32298.79,Married Filing Jointly,AM,57.84921019477681,28030.304716525425,20339.95,3211.02,1
88022.56,Married Filing Separately,RN,84.82,34473.54,34942.34,699.54,0
44082.29,Head of Household,CE,68.26,7913.09,6081.37,2630.92,0
52336.85,Single,GO,80.22,4314.98,7316.15,1503.78,0
121683.88,Married Filing Jointly,RS,80.83,34970.77,33701.56,17162.85,0
22996.08,Head of Household,RR,71.19,8942.23,841.04,4633.68,0
37531.11,Married Filing Separately,TO,75.37,1832.22,4377.72,5803.12,0
101176.33,Single,PB,90.37,7681.8,34636.51,9968.2,0
12852.21,Single,TO,90.61,3453.49,5543.47,2782.67,0
60057.49,Married Filing Jointly,MA,87.88,40552.71,22667.67,5244.23,0
89774.28,Married Filing Jointly,AL,74.34,4759.6,15936.06,8305.45,0
90721.46,Married Filing Separately,PI,94.56,16391.73,24693.23,11684.95,0
70772.91,Married Filing Jointly,RN,74.77,15792.18,21484.78,10495.64,0
167497.89,Married Filing Separately,BA,85.69,37400.87,16959.25,5592.77,0
49099.79,Married Filing Jointly,CE,85.58,15950.14,9708.28,11659.94,0
152851.62,Married Filing Jointly,PA,64.42,22755.41,38059.0,797.37,0
131265.29,Head of Household,AM,90.71,12880.02,44914.4,5681.74,0
69796.98,Married Filing Jointly,PB,96.28,20170.42,15043.44,6920.52,0
28346.78,Married Filing Jointly,RS,67.85,1477.49,1577.22,3461.0,0
69814.25,Married Filing Jointly,RN,77.87,11203.11,28446.31,14014.13,0
66893.32,Single,PA,86.14,11089.64,21561.49,1969.83,0
32003.54,Married Filing Separately,CE,86.99,19592.17,5313.24,460.36,0
49822.11,Married Filing Jointly,MS,89.83,6424.88,19509.92,2749.37,0
18163.4,Married Filing Jointly,AM,66.92,2010.07,2878.35,3213.0,0
43420.22,Married Filing Jointly,MS,71.0,11640.62,2293.31,4546.3,0
85906.84,Married Filing Jointly,PA,84.4,13375.79,23213.87,25.45,0
206098.31,Married Filing Jointly,RJ,95.68,63552.74,72439.64,9307.09,0
104520.98,Head of Household,PA,92.82,16537.07,32325.94,21978.47,0
53121.04,Single,DF,69.51,9070.01,38398.84,18659.13,0
33883.73,Married Filing Jointly,RR,85.3,7167.6,9908.88,2772.98,0
86048.37,Married Filing Separately,RJ,71.87,33426.76,9762.0,9789.55,0
124995.1,Married Filing Separately,PB,84.9,28811.46,10816.71,76.16,0
72291.05,Single,SC,89.88,5937.65,27076.77,4526.85,0
88785.01,Head of Household,PB,88.37,57301.87,21089.61,4983.16,0
32987.78,Married Filing Separately,RO,89.07,24495.43,15786.69,498.22,0
24317.05,Married Filing Separately,PE,85.55,4593.92,1346.1,6876.93,0
95030.26,Single,MA,73.51,3086.38,25872.92,2741.55,0
67518.34,Single,MA,80.93,24628.57,20247.4,8224.08,0
109629.95,Single,MT,77.12,14725.32,42563.18,14808.92,0
64026.99,Head of Household,RS,81.02,27563.47,16704.19,641.95,0
74630.23,Single,PB,77.46,16462.07,15870.11,25392.72,0
32702.79,Head of Household,PE,86.07,7348.98,8115.61,4668.4,0
213630.09,Married Filing Jointly,RR,62.33,55423.75,87267.35,12838.78,0
90362.11,Single,SP,77.34,10367.74,20355.9,4315.14,0
119161.8,Head of Household,GO,86.88,27192.88,19835.6,2660.22,0
40723.91,Married Filing Separately,BA,88.25,3314.69,10174.45,1742.13,0
185996.54,Married Filing Jointly,MS,90.2,50965.37,32308.23,7094.74,0
45910.25,Married Filing Jointly,PA,68.03,11024.6,6884.99,2751.81,0
150915.19,Married Filing Separately,GO,97.07,28630.64,46250.17,18256.34,0
78745.38,Head of Household,RS,96.56,39352.36,7281.34,9.53,0
93656.63,Head of Household,AL,56.0,27570.69,15547.28,1353.25,0
94643.89,Head of Household,TO,89.46,50895.75,45921.65,4241.83,0
22546.95,Married Filing Separately,PA,71.28,8360.66,788.58,6142.94,0
141577.63,Head of Household,PI,78.75,71106.75,22641.37,15786.57,0
100569.44132875501,Single,CE,34.1574021610233,79067.23911149436,62432.03,8935.19,1
138666.27,Head of Household,AM,91.34,60510.45,42875.8,1318.86,0
41443.16,Single,MS,48.77,24107.1,15547.65,15745.83,0
146706.04,Married Filing Separately,MT,72.25,59651.16,39431.65,1029.89,0
32456.0,Head of Household,MT,75.83,8478.97,13267.81,9204.75,0
52270.49,Married Filing Separately,DF,88.59,5178.72,30796.26,932.64,0
44078.38,Married Filing Separately,PB,84.64,8440.53,10226.69,2960.94,0
136360.63,Married Filing Separately,AP,79.56,36614.42,49005.09,9698.59,0
36518.26,Head of Household,AC,72.36,16617.6,4786.19,1237.11,0
93496.93,Married Filing Jointly,CE,80.97,18402.63,27384.95,8257.14,0
